ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCertificado	vercertificado	1591037009059	 	3.3.1
USER	VerCertificado	80	START	1591037016459	1591037016459
REQUEST	80		Home	1591037016459	1591037016465	OK	 
USER	VerCertificado	81	START	1591037016527	1591037016527
REQUEST	81		Home	1591037016527	1591037016531	OK	 
USER	VerCertificado	82	START	1591037016611	1591037016611
REQUEST	82		Home	1591037016612	1591037016618	OK	 
USER	VerCertificado	83	START	1591037016690	1591037016690
REQUEST	83		Home	1591037016690	1591037016694	OK	 
USER	VerCertificado	84	START	1591037016770	1591037016770
REQUEST	84		Home	1591037016770	1591037016774	OK	 
USER	VerCertificado	85	START	1591037016837	1591037016837
REQUEST	85		Home	1591037016837	1591037016841	OK	 
USER	VerCertificado	86	START	1591037016917	1591037016917
REQUEST	86		Home	1591037016917	1591037016921	OK	 
USER	VerCertificado	87	START	1591037017001	1591037017001
REQUEST	87		Home	1591037017001	1591037017006	OK	 
USER	VerCertificado	88	START	1591037017070	1591037017070
REQUEST	88		Home	1591037017070	1591037017074	OK	 
USER	VerCertificado	89	START	1591037017148	1591037017148
REQUEST	89		Home	1591037017148	1591037017152	OK	 
USER	VerCertificado	90	START	1591037017227	1591037017227
REQUEST	90		Home	1591037017227	1591037017231	OK	 
USER	VerCertificado	91	START	1591037017297	1591037017297
REQUEST	91		Home	1591037017297	1591037017302	OK	 
USER	VerCertificado	92	START	1591037017377	1591037017377
REQUEST	92		Home	1591037017377	1591037017381	OK	 
USER	VerCertificado	93	START	1591037017459	1591037017459
REQUEST	93		Home	1591037017459	1591037017464	OK	 
REQUEST	1		IniciarSesion	1591037017432	1591037017435	OK	 
REQUEST	2		IniciarSesion	1591037017481	1591037017484	OK	 
USER	VerCertificado	94	START	1591037017537	1591037017537
REQUEST	94		Home	1591037017538	1591037017541	OK	 
REQUEST	3		IniciarSesion	1591037017559	1591037017563	OK	 
USER	VerCertificado	95	START	1591037017607	1591037017607
REQUEST	95		Home	1591037017607	1591037017611	OK	 
REQUEST	4		IniciarSesion	1591037017650	1591037017653	OK	 
USER	VerCertificado	96	START	1591037017687	1591037017687
REQUEST	96		Home	1591037017687	1591037017690	OK	 
REQUEST	5		IniciarSesion	1591037017708	1591037017711	OK	 
USER	VerCertificado	97	START	1591037017767	1591037017767
REQUEST	97		Home	1591037017767	1591037017771	OK	 
REQUEST	6		IniciarSesion	1591037017788	1591037017791	OK	 
USER	VerCertificado	98	START	1591037017842	1591037017842
REQUEST	98		Home	1591037017843	1591037017847	OK	 
REQUEST	7		IniciarSesion	1591037017877	1591037017881	OK	 
USER	VerCertificado	99	START	1591037017919	1591037017919
REQUEST	99		Home	1591037017919	1591037017923	OK	 
REQUEST	8		IniciarSesion	1591037017950	1591037017954	OK	 
USER	VerCertificado	100	START	1591037017997	1591037017997
REQUEST	100		Home	1591037017997	1591037018001	OK	 
REQUEST	9		IniciarSesion	1591037018030	1591037018033	OK	 
USER	VerCertificado	101	START	1591037018077	1591037018077
REQUEST	101		Home	1591037018077	1591037018081	OK	 
REQUEST	10		IniciarSesion	1591037018099	1591037018103	OK	 
USER	VerCertificado	102	START	1591037018152	1591037018152
REQUEST	102		Home	1591037018152	1591037018158	OK	 
REQUEST	11		IniciarSesion	1591037018178	1591037018181	OK	 
USER	VerCertificado	103	START	1591037018227	1591037018227
REQUEST	103		Home	1591037018227	1591037018231	OK	 
REQUEST	12		IniciarSesion	1591037018249	1591037018252	OK	 
USER	VerCertificado	104	START	1591037018307	1591037018307
REQUEST	104		Home	1591037018307	1591037018311	OK	 
REQUEST	13		IniciarSesion	1591037018328	1591037018331	OK	 
USER	VerCertificado	105	START	1591037018380	1591037018380
REQUEST	105		Home	1591037018381	1591037018385	OK	 
REQUEST	14		IniciarSesion	1591037018407	1591037018410	OK	 
USER	VerCertificado	106	START	1591037018458	1591037018458
REQUEST	106		Home	1591037018458	1591037018463	OK	 
REQUEST	15		IniciarSesion	1591037018480	1591037018483	OK	 
USER	VerCertificado	107	START	1591037018531	1591037018531
REQUEST	107		Home	1591037018532	1591037018535	OK	 
REQUEST	16		IniciarSesion	1591037018558	1591037018561	OK	 
USER	VerCertificado	108	START	1591037018609	1591037018609
REQUEST	108		Home	1591037018609	1591037018613	OK	 
REQUEST	17		IniciarSesion	1591037018642	1591037018646	OK	 
USER	VerCertificado	109	START	1591037018687	1591037018687
REQUEST	109		Home	1591037018688	1591037018692	OK	 
REQUEST	18		IniciarSesion	1591037018720	1591037018724	OK	 
USER	VerCertificado	110	START	1591037018762	1591037018762
REQUEST	110		Home	1591037018763	1591037018769	OK	 
REQUEST	19		IniciarSesion	1591037018788	1591037018793	OK	 
USER	VerCertificado	111	START	1591037018837	1591037018837
REQUEST	111		Home	1591037018837	1591037018841	OK	 
REQUEST	20		IniciarSesion	1591037018869	1591037018876	OK	 
USER	VerCertificado	112	START	1591037018921	1591037018921
REQUEST	112		Home	1591037018921	1591037018925	OK	 
REQUEST	21		IniciarSesion	1591037018942	1591037018947	OK	 
USER	VerCertificado	113	START	1591037019000	1591037019000
REQUEST	113		Home	1591037019000	1591037019004	OK	 
REQUEST	22		IniciarSesion	1591037019021	1591037019024	OK	 
USER	VerCertificado	114	START	1591037019068	1591037019068
REQUEST	114		Home	1591037019068	1591037019074	OK	 
REQUEST	23		IniciarSesion	1591037019100	1591037019108	OK	 
USER	VerCertificado	115	START	1591037019147	1591037019147
REQUEST	115		Home	1591037019148	1591037019152	OK	 
REQUEST	24		IniciarSesion	1591037019168	1591037019172	OK	 
USER	VerCertificado	116	START	1591037019227	1591037019227
REQUEST	116		Home	1591037019227	1591037019232	OK	 
REQUEST	25		IniciarSesion	1591037019249	1591037019252	OK	 
USER	VerCertificado	117	START	1591037019300	1591037019300
REQUEST	117		Home	1591037019300	1591037019305	OK	 
REQUEST	26		IniciarSesion	1591037019332	1591037019335	OK	 
USER	VerCertificado	118	START	1591037019379	1591037019379
REQUEST	118		Home	1591037019379	1591037019383	OK	 
REQUEST	27		IniciarSesion	1591037019412	1591037019415	OK	 
USER	VerCertificado	119	START	1591037019458	1591037019458
REQUEST	119		Home	1591037019459	1591037019465	OK	 
REQUEST	28		IniciarSesion	1591037019480	1591037019483	OK	 
USER	VerCertificado	120	START	1591037019527	1591037019527
REQUEST	120		Home	1591037019527	1591037019531	OK	 
REQUEST	29		IniciarSesion	1591037019558	1591037019561	OK	 
USER	VerCertificado	121	START	1591037019610	1591037019610
REQUEST	121		Home	1591037019611	1591037019615	OK	 
REQUEST	30		IniciarSesion	1591037019632	1591037019636	OK	 
USER	VerCertificado	122	START	1591037019689	1591037019689
REQUEST	122		Home	1591037019690	1591037019693	OK	 
REQUEST	31		IniciarSesion	1591037019712	1591037019715	OK	 
USER	VerCertificado	123	START	1591037019769	1591037019769
REQUEST	123		Home	1591037019769	1591037019773	OK	 
REQUEST	32		IniciarSesion	1591037019790	1591037019793	OK	 
USER	VerCertificado	124	START	1591037019837	1591037019837
REQUEST	124		Home	1591037019837	1591037019841	OK	 
REQUEST	33		IniciarSesion	1591037019859	1591037019862	OK	 
USER	VerCertificado	125	START	1591037019918	1591037019918
REQUEST	125		Home	1591037019919	1591037019922	OK	 
REQUEST	34		IniciarSesion	1591037019951	1591037019954	OK	 
REQUEST	35		IniciarSesion	1591037020019	1591037020022	OK	 
USER	VerCertificado	126	START	1591037019997	1591037019997
REQUEST	126		Home	1591037020029	1591037020033	OK	 
USER	VerCertificado	127	START	1591037020067	1591037020067
REQUEST	127		Home	1591037020067	1591037020071	OK	 
REQUEST	36		IniciarSesion	1591037020087	1591037020090	OK	 
USER	VerCertificado	128	START	1591037020152	1591037020152
REQUEST	128		Home	1591037020152	1591037020158	OK	 
REQUEST	37		IniciarSesion	1591037020167	1591037020170	OK	 
USER	VerCertificado	129	START	1591037020231	1591037020231
REQUEST	129		Home	1591037020232	1591037020242	OK	 
REQUEST	38		IniciarSesion	1591037020247	1591037020250	OK	 
USER	VerCertificado	130	START	1591037020300	1591037020300
REQUEST	130		Home	1591037020300	1591037020304	OK	 
REQUEST	39		IniciarSesion	1591037020332	1591037020335	OK	 
USER	VerCertificado	131	START	1591037020378	1591037020378
REQUEST	131		Home	1591037020379	1591037020382	OK	 
REQUEST	40		IniciarSesion	1591037020399	1591037020402	OK	 
USER	VerCertificado	132	START	1591037020462	1591037020462
REQUEST	132		Home	1591037020462	1591037020466	OK	 
REQUEST	41		IniciarSesion	1591037020477	1591037020480	OK	 
USER	VerCertificado	133	START	1591037020540	1591037020540
REQUEST	133		Home	1591037020541	1591037020549	OK	 
REQUEST	42		IniciarSesion	1591037020562	1591037020565	OK	 
USER	VerCertificado	134	START	1591037020608	1591037020608
REQUEST	134		Home	1591037020609	1591037020613	OK	 
REQUEST	43		IniciarSesion	1591037020630	1591037020634	OK	 
USER	VerCertificado	135	START	1591037020687	1591037020687
REQUEST	135		Home	1591037020687	1591037020691	OK	 
REQUEST	44		IniciarSesion	1591037020708	1591037020711	OK	 
USER	VerCertificado	136	START	1591037020771	1591037020771
REQUEST	136		Home	1591037020771	1591037020775	OK	 
REQUEST	45		IniciarSesion	1591037020782	1591037020788	OK	 
USER	VerCertificado	137	START	1591037020838	1591037020838
REQUEST	137		Home	1591037020838	1591037020842	OK	 
REQUEST	46		IniciarSesion	1591037020860	1591037020863	OK	 
USER	VerCertificado	138	START	1591037020922	1591037020922
REQUEST	138		Home	1591037020923	1591037020927	OK	 
REQUEST	47		IniciarSesion	1591037020937	1591037020940	OK	 
USER	VerCertificado	139	START	1591037021001	1591037021001
REQUEST	139		Home	1591037021001	1591037021005	OK	 
REQUEST	48		IniciarSesion	1591037021011	1591037021014	OK	 
USER	VerCertificado	140	START	1591037021068	1591037021068
REQUEST	140		Home	1591037021068	1591037021072	OK	 
REQUEST	49		IniciarSesion	1591037021090	1591037021093	OK	 
USER	VerCertificado	141	START	1591037021147	1591037021147
REQUEST	141		Home	1591037021147	1591037021151	OK	 
REQUEST	50		IniciarSesion	1591037021179	1591037021182	OK	 
USER	VerCertificado	142	START	1591037021232	1591037021232
REQUEST	142		Home	1591037021232	1591037021237	OK	 
REQUEST	51		IniciarSesion	1591037021268	1591037021271	OK	 
USER	VerCertificado	143	START	1591037021311	1591037021311
REQUEST	143		Home	1591037021312	1591037021315	OK	 
REQUEST	52		IniciarSesion	1591037021322	1591037021325	OK	 
USER	VerCertificado	144	START	1591037021378	1591037021378
REQUEST	144		Home	1591037021379	1591037021382	OK	 
REQUEST	53		IniciarSesion	1591037021399	1591037021402	OK	 
USER	VerCertificado	145	START	1591037021457	1591037021457
REQUEST	145		Home	1591037021457	1591037021461	OK	 
REQUEST	54		IniciarSesion	1591037021478	1591037021481	OK	 
USER	VerCertificado	146	START	1591037021542	1591037021542
REQUEST	146		Home	1591037021542	1591037021548	OK	 
REQUEST	55		IniciarSesion	1591037021557	1591037021560	OK	 
USER	VerCertificado	147	START	1591037021611	1591037021611
REQUEST	147		Home	1591037021612	1591037021616	OK	 
REQUEST	56		IniciarSesion	1591037021627	1591037021631	OK	 
USER	VerCertificado	148	START	1591037021691	1591037021691
REQUEST	148		Home	1591037021692	1591037021701	OK	 
REQUEST	57		IniciarSesion	1591037021707	1591037021711	OK	 
USER	VerCertificado	149	START	1591037021769	1591037021769
REQUEST	149		Home	1591037021770	1591037021773	OK	 
REQUEST	58		IniciarSesion	1591037021791	1591037021797	OK	 
USER	VerCertificado	150	START	1591037021837	1591037021837
REQUEST	150		Home	1591037021838	1591037021841	OK	 
REQUEST	59		IniciarSesion	1591037021859	1591037021862	OK	 
USER	VerCertificado	151	START	1591037021917	1591037021917
REQUEST	151		Home	1591037021917	1591037021921	OK	 
REQUEST	60		IniciarSesion	1591037021938	1591037021941	OK	 
USER	VerCertificado	152	START	1591037022002	1591037022002
REQUEST	152		Home	1591037022002	1591037022007	OK	 
REQUEST	61		IniciarSesion	1591037022017	1591037022020	OK	 
USER	VerCertificado	153	START	1591037022071	1591037022071
REQUEST	153		Home	1591037022071	1591037022075	OK	 
REQUEST	62		IniciarSesion	1591037022092	1591037022095	OK	 
USER	VerCertificado	154	START	1591037022149	1591037022149
REQUEST	154		Home	1591037022150	1591037022153	OK	 
REQUEST	63		IniciarSesion	1591037022171	1591037022174	OK	 
USER	VerCertificado	155	START	1591037022229	1591037022229
REQUEST	155		Home	1591037022230	1591037022234	OK	 
REQUEST	64		IniciarSesion	1591037022251	1591037022254	OK	 
USER	VerCertificado	156	START	1591037022309	1591037022309
REQUEST	156		Home	1591037022309	1591037022314	OK	 
REQUEST	65		IniciarSesion	1591037022320	1591037022323	OK	 
USER	VerCertificado	157	START	1591037022378	1591037022378
REQUEST	157		Home	1591037022378	1591037022382	OK	 
REQUEST	66		IniciarSesion	1591037022399	1591037022402	OK	 
USER	VerCertificado	158	START	1591037022458	1591037022458
REQUEST	158		Home	1591037022458	1591037022463	OK	 
REQUEST	67		IniciarSesion	1591037022480	1591037022484	OK	 
USER	VerCertificado	159	START	1591037022539	1591037022539
REQUEST	159		Home	1591037022539	1591037022543	OK	 
REQUEST	68		IniciarSesion	1591037022539	1591037022543	OK	 
USER	VerCertificado	160	START	1591037022607	1591037022607
REQUEST	160		Home	1591037022608	1591037022613	OK	 
REQUEST	69		IniciarSesion	1591037022641	1591037022644	OK	 
USER	VerCertificado	161	START	1591037022688	1591037022688
REQUEST	161		Home	1591037022688	1591037022692	OK	 
REQUEST	70		IniciarSesion	1591037022709	1591037022713	OK	 
USER	VerCertificado	162	START	1591037022768	1591037022768
REQUEST	162		Home	1591037022768	1591037022773	OK	 
REQUEST	71		IniciarSesion	1591037022778	1591037022781	OK	 
USER	VerCertificado	163	START	1591037022841	1591037022841
REQUEST	163		Home	1591037022842	1591037022851	OK	 
REQUEST	72		IniciarSesion	1591037022857	1591037022860	OK	 
USER	VerCertificado	164	START	1591037022920	1591037022920
REQUEST	164		Home	1591037022921	1591037022924	OK	 
REQUEST	73		IniciarSesion	1591037022942	1591037022947	OK	 
USER	VerCertificado	165	START	1591037022999	1591037022999
REQUEST	165		Home	1591037022999	1591037023002	OK	 
REQUEST	74		IniciarSesion	1591037023010	1591037023013	OK	 
USER	VerCertificado	166	START	1591037023068	1591037023068
REQUEST	166		Home	1591037023068	1591037023072	OK	 
REQUEST	75		IniciarSesion	1591037023090	1591037023093	OK	 
USER	VerCertificado	167	START	1591037023147	1591037023147
REQUEST	167		Home	1591037023148	1591037023151	OK	 
REQUEST	76		IniciarSesion	1591037023169	1591037023173	OK	 
USER	VerCertificado	168	START	1591037023232	1591037023232
REQUEST	168		Home	1591037023233	1591037023237	OK	 
REQUEST	77		IniciarSesion	1591037023248	1591037023251	OK	 
USER	VerCertificado	169	START	1591037023310	1591037023310
REQUEST	169		Home	1591037023310	1591037023314	OK	 
REQUEST	78		IniciarSesion	1591037023321	1591037023324	OK	 
USER	VerCertificado	170	START	1591037023379	1591037023379
REQUEST	170		Home	1591037023379	1591037023383	OK	 
REQUEST	79		IniciarSesion	1591037023400	1591037023403	OK	 
USER	VerCertificado	171	START	1591037023457	1591037023457
REQUEST	171		Home	1591037023457	1591037023461	OK	 
REQUEST	80		IniciarSesion	1591037023478	1591037023481	OK	 
USER	VerCertificado	172	START	1591037023529	1591037023529
REQUEST	172		Home	1591037023529	1591037023535	OK	 
REQUEST	81		IniciarSesion	1591037023550	1591037023556	OK	 
USER	VerCertificado	173	START	1591037023607	1591037023607
REQUEST	173		Home	1591037023607	1591037023610	OK	 
REQUEST	82		IniciarSesion	1591037023629	1591037023632	OK	 
USER	VerCertificado	174	START	1591037023687	1591037023687
REQUEST	174		Home	1591037023687	1591037023691	OK	 
REQUEST	83		IniciarSesion	1591037023709	1591037023712	OK	 
USER	VerCertificado	175	START	1591037023767	1591037023767
REQUEST	175		Home	1591037023767	1591037023771	OK	 
REQUEST	84		IniciarSesion	1591037023787	1591037023790	OK	 
USER	VerCertificado	176	START	1591037023840	1591037023840
REQUEST	176		Home	1591037023841	1591037023844	OK	 
REQUEST	85		IniciarSesion	1591037023861	1591037023864	OK	 
USER	VerCertificado	177	START	1591037023917	1591037023917
REQUEST	177		Home	1591037023917	1591037023921	OK	 
REQUEST	86		IniciarSesion	1591037023928	1591037023931	OK	 
USER	VerCertificado	178	START	1591037023997	1591037023997
REQUEST	178		Home	1591037023997	1591037024000	OK	 
REQUEST	87		IniciarSesion	1591037024017	1591037024020	OK	 
USER	VerCertificado	179	START	1591037024071	1591037024071
REQUEST	179		Home	1591037024071	1591037024075	OK	 
REQUEST	88		IniciarSesion	1591037024092	1591037024095	OK	 
USER	VerCertificado	180	START	1591037024148	1591037024148
REQUEST	180		Home	1591037024149	1591037024153	OK	 
REQUEST	89		IniciarSesion	1591037024171	1591037024176	OK	 
USER	VerCertificado	181	START	1591037024228	1591037024228
REQUEST	181		Home	1591037024229	1591037024235	OK	 
REQUEST	90		IniciarSesion	1591037024250	1591037024256	OK	 
USER	VerCertificado	182	START	1591037024298	1591037024298
REQUEST	182		Home	1591037024298	1591037024302	OK	 
REQUEST	91		IniciarSesion	1591037024319	1591037024323	OK	 
USER	VerCertificado	183	START	1591037024377	1591037024377
REQUEST	183		Home	1591037024377	1591037024381	OK	 
REQUEST	92		IniciarSesion	1591037024398	1591037024401	OK	 
USER	VerCertificado	184	START	1591037024457	1591037024457
REQUEST	184		Home	1591037024457	1591037024460	OK	 
REQUEST	93		IniciarSesion	1591037024477	1591037024480	OK	 
USER	VerCertificado	185	START	1591037024541	1591037024541
REQUEST	185		Home	1591037024542	1591037024552	OK	 
REQUEST	94		IniciarSesion	1591037024557	1591037024561	OK	 
USER	VerCertificado	186	START	1591037024609	1591037024609
REQUEST	186		Home	1591037024609	1591037024616	OK	 
REQUEST	95		IniciarSesion	1591037024630	1591037024634	OK	 
USER	VerCertificado	187	START	1591037024687	1591037024687
REQUEST	187		Home	1591037024688	1591037024691	OK	 
REQUEST	96		IniciarSesion	1591037024710	1591037024713	OK	 
USER	VerCertificado	188	START	1591037024768	1591037024768
REQUEST	188		Home	1591037024769	1591037024772	OK	 
REQUEST	97		IniciarSesion	1591037024790	1591037024793	OK	 
USER	VerCertificado	189	START	1591037024837	1591037024837
REQUEST	189		Home	1591037024837	1591037024840	OK	 
REQUEST	98		IniciarSesion	1591037024858	1591037024861	OK	 
USER	VerCertificado	190	START	1591037024917	1591037024917
REQUEST	190		Home	1591037024917	1591037024929	OK	 
REQUEST	99		IniciarSesion	1591037024937	1591037024940	OK	 
USER	VerCertificado	191	START	1591037025002	1591037025002
REQUEST	191		Home	1591037025002	1591037025005	OK	 
REQUEST	100		IniciarSesion	1591037025017	1591037025020	OK	 
USER	VerCertificado	192	START	1591037025080	1591037025080
REQUEST	192		Home	1591037025081	1591037025084	OK	 
REQUEST	101		IniciarSesion	1591037025102	1591037025105	OK	 
USER	VerCertificado	193	START	1591037025149	1591037025149
REQUEST	193		Home	1591037025150	1591037025157	OK	 
